id,name,external_id,state,country,mw,mwh,status,date_first_heard,start_construction,start_operation,start_estimated,owner,is_megapack,is_tesla,lat,long,coords_hint,has_user_data,project_website,link1,link2,link3,link4
844,Bumpers,,buckinghamshire,uk,99,198,operation,,2022-10-17,2023-10,2023-08-25,Harmony Energy Income Trust,True,True,51.7485,-0.88913,1,True,https://www.heitp.co.uk/portfolio/projects-overview/key-information-about-bumpers-bess/,https://docs.planning.org.uk/20211124/124/R1F0N4SCKAZ00/pev22n27dqbm87mh.pdf,https://api-gb.one.network/downloads/tm/1016/ttro-application-form_131178395_3494207_17135d8618.pdf,https://planning.org.uk/app/124/R1F0N4SCKAZ00,https://twitter.com/heitplc/status/1679460677226823680
845,Broadditch,,kent,uk,11,22,operation,,,2022-12-01,2022Q4,Harmony Energy Income Trust,True,True,51.41493,0.32622,1,True,,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://docs.planning.org.uk/20211013/85/R07CFUBQJGV00/lu3um7x6cbswjxy0.pdf,,
846,Pillswood Phase 2,7360,yorkshire and humber,uk,49,98,operation,2020-01-31,2022-04-01,2022-11-01,,Harmony Energy Storage,True,True,53.802281,-0.416949,2,True,,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://www.insidermedia.com/news/yorkshire/battery-energy-storage-facility-brought-online,https://www.londonstockexchange.com/news-article/HEIT/pillswood-energisation/15722939,https://twitter.com/Tesla_Megapack/status/1661649261757612032
847,Farnham,,surrey,uk,20,40,operation,,,2023-05,2023Q1,Harmony Energy Income Trust,True,True,51.18894,-0.82903032,1,True,,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://modgov.waverley.gov.uk/documents/s24387/Western06Jun18%20-%20B1%20-%20Land%20to%20the%20rear%20of%20substation.pdf,https://www.heitp.co.uk/portfolio/projects-overview/key-information-about-farnham-bess/,
848,Wormald Green,,yorkshire,uk,33,66,planning,,,,2024Q1,Harmony Energy Income Trust,True,True,54.07548,-1.52312,0,True,,https://www.theaic.co.uk/aic/news/citywire-news/harmony-energy-looks-at-fund-options-after-c-share-flop,https://www.investegate.co.uk/harmony-energy-inc.--heit-/rns/acquisition-of-three-pipeline-projects/202212150700037588J/,,
849,Hawthorn Pit,,county durham,uk,49,99,planning,,,,2024Q2,Harmony Energy Income Trust,True,True,54.80552,-1.40646,0,True,,https://www.theaic.co.uk/aic/news/citywire-news/harmony-energy-looks-at-fund-options-after-c-share-flop,https://www.investegate.co.uk/harmony-energy-inc.--heit-/rns/acquisition-of-three-pipeline-projects/202212150700037588J/,,
850,Western Downs Battery,,queensland,australia,270,540,construction,2022-12-29,2023-01,,2025Q1,Neoen,True,True,-26.976142,150.666771,2,True,https://westerndownsgreenpowerhub.com.au/,https://neoen.com/en/news/2022/neoen-launches-construction-of-its-200-mw-400-mwh-western-downs-battery-in-queensland-australia/,https://neoen.com/en/news/2023/neoen-expands-the-size-of-its-western-downs-battery-in-queensland-australia-to-270-mw-540-mwh/,,
851,Sierra Estrella Energy Storage,66334,arizona,usa,250,1000,operation,2023-03,2023-09,2024-05,2024,"Sierra Estrella Energy Storage, LLC",True,True,33.410648,-112.313765,1,True,https://www.sierraestrellaenergystorage.com/about,https://www.sierraestrellaenergystorage.com/s/01_11-07-2022_READ-ONLY_Sierra-Estrella-LS-208_FullSize.pdf,https://electrek.co/2024/06/27/tesla-megapack-project-giant-online-arizona/,,
852,Superstition Energy Storage,66333,arizona,usa,90,360,operation,2023-03,2024-04,2024-07,2024,"Superstition Energy Storage, LLC",True,True,33.358927,-111.831039,1,True,https://www.superstitionenergystorage.com/about,https://www.energy-storage.news/arizona-utility-srp-to-arrive-at-800mw-battery-storage-by-mid-2024-with-two-new-deals/,https://twitter.com/SharifaDarani/status/1612314447074439168,https://electrek.co/2024/06/27/tesla-megapack-project-giant-online-arizona/,
864,Condor Energy Storage LLC,66285,california,usa,200,800,operation,2023-03,2023-10,2024-05,,Condor Energy Storage LLC,True,True,34.020505,-117.332255,2,True,https://arevonenergy.com/location/condor/,https://arevonenergy.com/new-utility-scale-battery-storage-facility-planned-for-city-of-grand-terrace/,,,
865,Peregrine Energy Storage LLC,66286,california,usa,200,800,construction,2023-03,2024-08,,2025-03,"Peregrine Energy Storage, LLC",True,True,32.692183,-117.13667,2,True,https://arevonenergy.com/location/peregrine/,https://arevonenergy.com/new-utility-scale-battery-storage-facility-planned-for-san-diego/,,,
866,Oneida Energy Storage Project,,ontario,canada,250,1000,planning,2023-02-10,,,2025,Northland Power ** SNGRDC,True,True,42.886859,-80.12224,3,True,https://www.snfuture.com/projects/oneida-energy-storage/,https://driveteslacanada.ca/energy/nrstor-to-build-250mw-1000mwh-tesla-megapack-project-in-ontario/,,,
1174,Collie Battery Stage 1,,western australia,australia,219,877,construction,2023-06-19,2023-06-21,,2024Q4,neoen,True,True,-33.31604,116.289605,2,True,https://colliebattery.com.au,https://neoen.com/en/news/2023/neoen-to-build-its-first-long-duration-battery-after-winning-a-197-mw-contract-in-western-australia/,https://colliebattery.com.au/2023/06/21/collie-battery-stage-1-ntp/,,
1175,Chingjia Energy,,,taiwan,0,200,planning,2023-08-23,,,,Chingjia Energy,True,True,24.222065,120.945036,-2,True,,https://twitter.com/Tesla_Megapack/status/1693770142554189983,,,
1176,GFTX BESS,67860,texas,usa,125,250,operation,2024-09,2023-07-19,2024-08,,Giga Texas Energy LLC,True,True,30.230756,-97.615973,1,True,,https://twitter.com/Tesla_Megapack/status/1681503667030212608,https://twitter.com/JoeTegtmeyer/status/1654619434261135360,https://twitter.com/SawyerMerritt/status/1682834256928571392,https://x.com/Tesla_Megapack/status/1791530954261172681
