name,city,id,external_id,overwrite,state,country,capacity_mwh,estimate_mwh,power_mw,customer,owner,developer,manufacturer,type,cells,no_of_battery_units,status,date_first_heard,start_construction,start_operation,start_estimated,cost_million,cost_currency,cost_incl_solar,lat,long,coords_hint,coords_hint_2,use_case,notes,project_website,link1,link2,link3,link4
Davies Road - Battery Storage,,512,9563,1,north west,uk,,25,25,,Energi Generation,,,,,,planning,,,,,,,,,,,,,,,,,,
Middlewich Road - Solar Photovoltaics & Battery Storage,,513,9565,1,north west,uk,,25,25,,Cheshire East Council,,,,,,planning,,,,,,,,,,,,,,,,,,
"Astra Centre, Royal Barn Road - Energy Storage",,514,9584,1,north west,uk,,40,40,,Arlington Energy Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Winterton Road - Battery Energy Storage,,515,9608,1,yorkshire and humber,uk,,95,95,,Newton Energi Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Richborough Energy Park - Phase 2,,516,9626,1,south east,uk,,71,71,,Richborough Energy Park Limited,,,,,,planning,2021-04-30,,,,,,,,,,,,,,,,,
Bredbury Substation - Battery Storage Facility,,517,9653,1,north west,uk,,49,49,,Private Developer,,,,,,planning,,,,,,,,,,,,,,,,,,
The Brickmakers Arms Battery,,518,9668,1,eastern,uk,,20,20,,FPC Industry & Enterprise 2 Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Third Energy UK Gas Limited - Battery Energy Storage,,519,9691,1,yorkshire and humber,uk,,100,100,,Third Energy,,,,,,planning,,,,,,,,,,,,,,,,,,
Tanners Lane - 40 MW Battery Energy Storage Facility (Phase One),,520,9708,1,south east,uk,,40,40,,British Solar Renewables,,,,,,planning,2019-11-26,,,,,,,,,,,,,,,,,
"Upton Lane, Nursling - Battery Storage Facility",,521,9760,1,south east,uk,,50,50,,Balance Power Projects Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Cholmondeley Road - Battery Storage,,522,9763,1,north west,uk,,100,100,,Riverside Estates (NW) Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Slough Road - Battery Storage,,523,9774,1,south east,uk,,57,57,,Pivot Power,,,,,,planning,,,,,,,,,,,,,,,,,,
