Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,9052,24/05/2021,Pelagic Energy,"Bronwylfa Road, Talwrn - Battery Storage Facility",Battery,Stand-alone Storage,,49.50,No,,,,,,,,Planning Application Submitted,Application Submitted,"The North Of, National Grid Legacy Substation, Bronwylfa Road, Talwrn",Clwyd,Wales,Wales,LL14 4HY,329379,348628,Wrexham County Borough Council,P/2021/0441,,,,,,06/05/2021,,,,,,,,,,,,,,,planning,49
,9057,24/05/2021,INRG,"Whaddon Lane, Hilperton",Battery,Co-located with RE,9056,18.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"west of Whaddon Farm, Whaddon Lane, Hilperton",Wiltshire,South West,England,BA14 6NR,387318,160946,North Wiltshire District Council,PL/2021/03061,,,,,,10/05/2021,,,,,,,,,,,,,,,planning,18
,9063,25/05/2021,Minety South 2,"Purlieus Farm, Minety - Battery Storage Facility",Battery,Stand-alone Storage,,49.99,No,,,,,,,,Planning Application Submitted,Application Submitted,"Purlieus Farm, Minety, Malmesbury",Wiltshire,South West,England,SN16 9RP,400258,189902,West Wiltshire District Council,PL/2021/04151,,,,,,22/03/2021,,,,,,,,,,,,,,,planning,49
,9066,25/05/2021,Ecosse Solar Parks Limited,"Dragonhall Farm, Padanaram - Battery Storage",Battery,Co-located with RE,9065,10.00,No,,,,,,,,Planning Application Submitted,Application Submitted,Field 275M East Of Dragonhall Farm Padanaram Forfar ,Angus,Scotland,Scotland,DD8,342517,751739,Angus Council,21/00271/FULL,,,,,,12/05/2021,,,,,,,,,,,,,,,planning,10
,9115,27/09/2021,SSE Enterprise,Kirkhaw Lane - Battery Storage Energy,Battery,Stand-alone Storage,,100.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Site Within Ferrybridge Power Station,West Yorkshire,Yorkshire and Humber,England,WF11 8RB,447882,425231,Wakefield Metropolitan District Council,21/02055/CPL,,,,,,10/08/2021,,,,,,,22/09/2021,,,,,,,,planning,100
,9121,07/06/2021,Harmony Energy Storage,Rusholme Grange Resubmission,Battery,Stand-alone Storage,,40.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Rusholme Grange, Rusholme Lane, Drax, Selby, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,YO8 8PW,470197,426610,Selby District Council,2021/0601/FUL,,,,,,26/05/2021,,,,,,,19/12/2017,,,,,,,,planning,40
,9127,10/06/2021,E.ON Climate & Renewables UK Developments,Daer Wind Farm,Battery,Co-located with RE,2908,100.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Land east of Daer Reservoir, South Lanarkshire/Dumfries and Galloway",South Lanarkshire,Scotland,Scotland,,300000,606000,Scottish Government (S36),P/21/1014 ,,,,,,26/05/2021,,,,,,,,,,,,,,,planning,100
,9199,16/07/2021,Energi Generation,Bay Gateway - Battery Storage Facility,Battery,Stand-alone Storage,,99.90,No,,,,,,,,Planning Application Submitted,Application Submitted,North Of A683 Bay Gateway Heaton With Oxcliffe,Lancashire,North West,England,LA3,343895,461145,Lancaster City Council,21/00695/FUL,,,,,,30/06/2021,,,,,,,,,,,,,,,planning,99
,9224,25/06/2021,RES Limited,Balsillie Avenue - Roaring Hill Energy Storage Facility,Battery,Stand-alone Storage,,19.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"E/O Balsillie Avenue, The S/O The Limekilns, Glenrothes",Fife,Scotland,Scotland,KY12 7DR,325452,702311,Fife Council,21/01438/FULL,,,,,,25/05/2021,,,,,,,,,,,,,,,planning,19
,9230,28/06/2021,Eden Renewables,Forest Gate - Solar Farm & Battery Storage,Battery,Co-located with RE,9229,40.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Forest Gate, Pewsham, Chippenham",Wiltshire,South West,England,SN15 3RS,394760,171549,Wiltshire Council,PL/2021/06112,,,,,,11/06/2021,,,,,,,,,,,,,,,planning,40
,9238,29/06/2021,Eden Renewables,Leigh Delamere - Solar farm & Battery storage,Battery,Co-located with RE,9237,40.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"The S/O The M4 At Leigh Delamere, To The W/O Leigh, Delamere Motorway Services, Chippenham",Wiltshire,South West,England,SN14,388188,178888,Wiltshire Council,PL/2021/06100,,,,,,14/06/2021,,,,,,,,,,,,,,,planning,40
,9274,05/07/2021,British Solar Renewables,South Fambridge Hall - Solar farm & Battery storage,Battery,Co-located with RE,9273,20.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"South Fambridge Hall, Fambridge Road, South Fambridge, Rochford",Essex,Eastern,England,SS4 3LS,586193,195503,Rochford District Council,21/00605/FUL,,,,,,22/06/2021,,,,,,,,,,,,,,,planning,20
