Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lat,long,status,mw
,11619,08/07/2022,Lightsource BP,"Edge Lane, Maiden Law - Solar Farm & Battery Storage",Battery,Co-located with RE,11618,45,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,East Of Edge Lane Maiden Law ,County Durham,North East,England,DH7 0RY,417812,548943,Durham County Council,DM/22/01769/FPA ,,,,,,30/06/2022,,,,,,,,,,,,,,,54.835,-1.724221,planning,45
,11623,12/10/2022,EcoDev Group Limited,"Mains Of Keithick Farm, Keithick - Battery Storage &  Solar Farm",Battery,Co-located with RE,11622,66,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Mains Of Keithick Farm, Keithick, Blairgowrie",Tayside,Scotland,Scotland,PH13 9NF,320315,738540,Scottish Government (S36),ECU00004521,,,,,,22/07/2022,,,,,,,,,,,,,,,56.532097,-3.297128,planning,66
,11648,04/11/2022,Lynn Power Limited,"High Road, Saddlebow - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,NW of High Road Saddlebow,Norfolk,Eastern,England,PE34 3AW,560810,316780,Borough Council of Kings Lynn & West Norfolk,22/01151/FM ,,,,,,07/07/2022,,,,,,,,,,,,,,,52.724763,0.379761,planning,50
,11656,10/11/2022,Penso Power,"Little Beanit Farm, Balsall Common - Battery Storage",Battery,Stand-alone Storage,,200,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Little Beanit Farm Waste Lane Balsall Common Solihull ,West Midlands,West Midlands,England,CV7 7GH,425615,276521,Solihull Council,PL/2022/02308/PPFL,,,,,,28/10/2022,,,,,,,,,,,,,,,52.386124,-1.625067,planning,200
,11676,18/07/2022,Falck Renewables / REG Windpower,"Knockkippen Wind, Solar & Battery Farm",Battery,Co-located with RE,10468,16,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Knockkippen Moss,East Ayrshire,Scotland,Scotland,KA6 7JH,243650,608770,Scottish Government (S36),ECU00004523,,,,,,24/06/2022,,,,,,,,,,,,,,,55.348007,-4.467301,planning,16
,11701,12/12/2022,Hydrock,Dragons Lane - Battery Storage Facility,Battery,Stand-alone Storage,,12,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"N/O Dragon's Lane, Sandbach, Moston",Cheshire,North West,England,CW11 3QH,372564,362870,Cheshire East Council,22/2219C,,,,,,22/07/2022,,,,,,,01/12/2022,,,,01/12/2025,,,,53.16224,-2.411803,planning,12
,11720,25/07/2022,Harmony Energy Storage,Clay Tye Farm Phase 1 - Storage Facility,Battery,Stand-alone Storage,,49.5,No,,,,,,,,,Under Construction,Under Construction,,,"Clay Tye Farm, Clay Tye Road, Upminster",London,London,England,RM14 3PL,559168,186148,London Borough of Havering Council,P0611.17,,,,,,28/04/2017,,,,,,,18/07/2017,,,,,01/07/2022,,,51.551771,0.294345,construction,49
,11721,25/07/2022,Harmony Energy Storage,Clay Tye Farm Phase 2 - Storage Facility,Battery,Stand-alone Storage,,49.5,No,,,,,,,,,Under Construction,Under Construction,,,"Clay Tye Farm, Clay Tye Road, Upminster",London,London,England,RM14 3PL,559168,186148,London Borough of Havering Council,P0888.18,,,,,,13/06/2018,,,,,,,10/09/2018,,,,,01/07/2022,,,51.551771,0.294345,construction,49
,11725,01/11/2022,Prime Energy Development Limited,Indian Queens Sub-Station - Battery Storage,Battery,Stand-alone Storage,,47.5,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,South West Of Indian Queens Sub-station St Dennis ,Cornwall,South West,England,PL26 8BY,194318,58564,Cornwall Council,PA22/05961,,,,,,28/06/2022,,,,,,,17/10/2022,,,,17/10/2025,,,,50.390894,-4.894992,planning,47
,11787,04/08/2022,Conrad Energy (Developments) II Limited,Catsbrain Farm - Battery Storage ,Battery,Stand-alone Storage,,30,No,,,,,,,,,Planning Application Submitted,Application Submitted,,7988,N/O Kingsdown Road & West Of Catsbrain Farm Swindon,Wiltshire,South West,England,SN3 4TD,417498,189141,Swindon Borough Council,S/22/1051,,,,,,11/07/2022,,,,,,,,,,,,,,,51.600842,-1.748759,planning,30
